answer_id,anon_id,L1,gender,semester,placement_test,course_id,level_id,class_id,question_id,version,text_len,text,tokens,tok_lem_POS
1,eq0,Arabic,Male,2006_fall,,149,4,g,5,1,177,"I met my friend Nife while I was studying in a middle school. I was happy when I met him because he was a good student in our school. We continued the middle and high school to gather in the same school. We were studying in the different classes in the middle school; however, in the high school we were studying in the same class. We went to many places in the free time while we were studying in the high school. When we finished from the high school, I went to K.S University and he went to I.M University. While we were enjoying in academic life, we made many achievement in these universities. I graduated when Nife was studying in the last semester in the university. After that, I got a job. Fortunately, it was nearby my home. I worked two years then I got scholarship from ministry of high education in my country. When I came here to U.S, my friend Nife arrange some documents to study at grad school in Malaysia.","['I', 'met', 'my', 'friend', 'Nife', 'while', 'I', 'was', 'studying', 'in', 'a', 'middle', 'school', '.', 'I', 'was', 'happy', 'when', 'I', 'met', 'him', 'because', 'he', 'was', 'a', 'good', 'student', 'in', 'our', 'school', '.', 'We', 'continued', 'the', 'middle', 'and', 'high', 'school', 'to', 'gather', 'in', 'the', 'same', 'school', '.', 'We', 'were', 'studying', 'in', 'the', 'different', 'classes', 'in', 'the', 'middle', 'school', ';', 'however', ',', 'in', 'the', 'high', 'school', 'we', 'were', 'studying', 'in', 'the', 'same', 'class', '.', 'We', 'went', 'to', 'many', 'places', 'in', 'the', 'free', 'time', 'while', 'we', 'were', 'studying', 'in', 'the', 'high', 'school', '.', 'When', 'we', 'finished', 'from', 'the', 'high', 'school', ',', 'I', 'went', 'to', 'K', '.', 'S', 'University', 'and', 'he', 'went', 'to', 'I', '.', 'M', 'University', '.', 'While', 'we', 'were', 'enjoying', 'in', 'academic', 'life', ',', 'we', 'made', 'many', 'achievement', 'in', 'these', 'universities', '.', 'I', 'graduated', 'when', 'Nife', 'was', 'studying', 'in', 'the', 'last', 'semester', 'in', 'the', 'university', '.', 'After', 'that', ',', 'I', 'got', 'a', 'job', '.', 'Fortunately', ',', 'it', 'was', 'nearby', 'my', 'home', '.', 'I', 'worked', 'two', 'years', 'then', 'I', 'got', 'scholarship', 'from', 'ministry', 'of', 'high', 'education', 'in', 'my', 'country', '.', 'When', 'I', 'came', 'here', 'to', 'U.S', ',', 'my', 'friend', 'Nife', 'arrange', 'some', 'documents', 'to', 'study', 'at', 'grad', 'school', 'in', 'Malaysia', '.']","[('I', 'I', 'PRP'), ('met', 'meet', 'VBD'), ('my', 'my', 'PRP$'), ('friend', 'friend', 'NN'), ('Nife', 'Nife', 'NNP'), ('while', 'while', 'IN'), ('I', 'I', 'PRP'), ('was', 'be', 'VBD'), ('studying', 'study', 'VBG'), ('in', 'in', 'IN'), ('a', 'a', 'DT'), ('middle', 'middle', 'JJ'), ('school', 'school', 'NN'), ('.', '.', '.'), ('I', 'I', 'PRP'), ('was', 'be', 'VBD'), ('happy', 'happy', 'JJ'), ('when', 'when', 'WRB'), ('I', 'I', 'PRP'), ('met', 'meet', 'VBD'), ('him', 'him', 'PRP'), ('because', 'because', 'IN'), ('he', 'he', 'PRP'), ('was', 'be', 'VBD'), ('a', 'a', 'DT'), ('good', 'good', 'JJ'), ('student', 'student', 'NN'), ('in', 'in', 'IN'), ('our', 'our', 'PRP$'), ('school', 'school', 'NN'), ('.', '.', '.'), ('We', 'We', 'PRP'), ('continued', 'continue', 'VBD'), ('the', 'the', 'DT'), ('middle', 'middle', 'NN'), ('and', 'and', 'CC'), ('high', 'high', 'JJ'), ('school', 'school', 'NN'), ('to', 'to', 'TO'), ('gather', 'gather', 'VB'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('same', 'same', 'JJ'), ('school', 'school', 'NN'), ('.', '.', '.'), ('We', 'We', 'PRP'), ('were', 'be', 'VBD'), ('studying', 'study', 'VBG'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('different', 'different', 'JJ'), ('classes', 'class', 'NNS'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('middle', 'middle', 'JJ'), ('school', 'school', 'NN'), (';', ';', ':'), ('however', 'however', 'RB'), (',', ',', ','), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('high', 'high', 'JJ'), ('school', 'school', 'NN'), ('we', 'we', 'PRP'), ('were', 'be', 'VBD'), ('studying', 'study', 'VBG'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('same', 'same', 'JJ'), ('class', 'class', 'NN'), ('.', '.', '.'), ('We', 'We', 'PRP'), ('went', 'go', 'VBD'), ('to', 'to', 'TO'), ('many', 'many', 'JJ'), ('places', 'place', 'NNS'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('free', 'free', 'JJ'), ('time', 'time', 'NN'), ('while', 'while', 'IN'), ('we', 'we', 'PRP'), ('were', 'be', 'VBD'), ('studying', 'study', 'VBG'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('high', 'high', 'JJ'), ('school', 'school', 'NN'), ('.', '.', '.'), ('When', 'when', 'WRB'), ('we', 'we', 'PRP'), ('finished', 'finish', 'VBD'), ('from', 'from', 'IN'), ('the', 'the', 'DT'), ('high', 'high', 'JJ'), ('school', 'school', 'NN'), (',', ',', ','), ('I', 'I', 'PRP'), ('went', 'go', 'VBD'), ('to', 'to', 'TO'), ('K', 'K', 'NNP'), ('.', '.', '.'), ('S', 'S', 'NNP'), ('University', 'University', 'NNP'), ('and', 'and', 'CC'), ('he', 'he', 'PRP'), ('went', 'go', 'VBD'), ('to', 'to', 'TO'), ('I', 'I', 'PRP'), ('.', '.', '.'), ('M', 'M', 'NNP'), ('University', 'University', 'NNP'), ('.', '.', '.'), ('While', 'while', 'IN'), ('we', 'we', 'PRP'), ('were', 'be', 'VBD'), ('enjoying', 'enjoy', 'VBG'), ('in', 'in', 'IN'), ('academic', 'academic', 'JJ'), ('life', 'life', 'NN'), (',', ',', ','), ('we', 'we', 'PRP'), ('made', 'make', 'VBD'), ('many', 'many', 'JJ'), ('achievement', 'achievement', 'NN'), ('in', 'in', 'IN'), ('these', 'these', 'DT'), ('universities', 'university', 'NNS'), ('.', '.', '.'), ('I', 'I', 'PRP'), ('graduated', 'graduate', 'VBD'), ('when', 'when', 'WRB'), ('Nife', 'Nife', 'NNP'), ('was', 'be', 'VBD'), ('studying', 'study', 'VBG'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('last', 'last', 'JJ'), ('semester', 'semester', 'NN'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('university', 'university', 'NN'), ('.', '.', '.'), ('After', 'after', 'IN'), ('that', 'that', 'DT'), (',', ',', ','), ('I', 'I', 'PRP'), ('got', 'get', 'VBD'), ('a', 'a', 'DT'), ('job', 'job', 'NN'), ('.', '.', '.'), ('Fortunately', 'fortunately', 'RB'), (',', ',', ','), ('it', 'it', 'PRP'), ('was', 'be', 'VBD'), ('nearby', 'nearby', 'JJ'), ('my', 'my', 'PRP$'), ('home', 'home', 'NN'), ('.', '.', '.'), ('I', 'I', 'PRP'), ('worked', 'work', 'VBD'), ('two', 'two', 'CD'), ('years', 'year', 'NNS'), ('then', 'then', 'RB'), ('I', 'I', 'PRP'), ('got', 'get', 'VBD'), ('scholarship', 'scholarship', 'NN'), ('from', 'from', 'IN'), ('ministry', 'ministry', 'NN'), ('of', 'of', 'IN'), ('high', 'high', 'JJ'), ('education', 'education', 'NN'), ('in', 'in', 'IN'), ('my', 'my', 'PRP$'), ('country', 'country', 'NN'), ('.', '.', '.'), ('When', 'when', 'WRB'), ('I', 'I', 'PRP'), ('came', 'come', 'VBD'), ('here', 'here', 'RB'), ('to', 'to', 'TO'), ('U.S', 'U.S', 'NNP'), (',', ',', ','), ('my', 'my', 'PRP$'), ('friend', 'friend', 'NN'), ('Nife', 'Nife', 'NNP'), ('arrange', 'arrange', 'VB'), ('some', 'some', 'DT'), ('documents', 'document', 'NNS'), ('to', 'to', 'TO'), ('study', 'study', 'VB'), ('at', 'at', 'IN'), ('grad', 'grad', 'JJ'), ('school', 'school', 'NN'), ('in', 'in', 'IN'), ('Malaysia', 'Malaysia', 'NNP'), ('.', '.', '.')]"
2,am8,Thai,Female,2006_fall,,149,4,g,5,1,137,"Ten years ago, I met a women on the train between the way was going to school,she was sitting next me.That day for school opened; She had a long back hair,a tan skin and a big brow eyes. I thought, she was so beautiful, and one thing as important she wear uniform similar me. When she took off the train,she said good bye with me. I feel better for first day of school. I was sitting until the last train stop it was near my school.I was finding the class when I met the women agin in that room. I saw the number of the room that was same me. While I was introducing my self to the women,, the teacher came in. Since we were the best friends until finished university.","['Ten', 'years', 'ago', ',', 'I', 'met', 'a', 'women', 'on', 'the', 'train', 'between', 'the', 'way', 'was', 'going', 'to', 'school', ',', 'she', 'was', 'sitting', 'next', 'me', '.', 'That', 'day', 'for', 'school', 'opened', ';', 'She', 'had', 'a', 'long', 'back', 'hair', ',', 'a', 'tan', 'skin', 'and', 'a', 'big', 'brow', 'eyes', '.', 'I', 'thought', ',', 'she', 'was', 'so', 'beautiful', ',', 'and', 'one', 'thing', 'as', 'important', 'she', 'wear', 'uniform', 'similar', 'me', '.', 'When', 'she', 'took', 'off', 'the', 'train', ',', 'she', 'said', 'good', 'bye', 'with', 'me', '.', 'I', 'feel', 'better', 'for', 'first', 'day', 'of', 'school', '.', 'I', 'was', 'sitting', 'until', 'the', 'last', 'train', 'stop', 'it', 'was', 'near', 'my', 'school', '.', 'I', 'was', 'finding', 'the', 'class', 'when', 'I', 'met', 'the', 'women', 'agin', 'in', 'that', 'room', '.', 'I', 'saw', 'the', 'number', 'of', 'the', 'room', 'that', 'was', 'same', 'me', '.', 'While', 'I', 'was', 'introducing', 'my', 'self', 'to', 'the', 'women', ',', ',', 'the', 'teacher', 'came', 'in', '.', 'Since', 'we', 'were', 'the', 'best', 'friends', 'until', 'finished', 'university', '.']","[('Ten', 'ten', 'CD'), ('years', 'year', 'NNS'), ('ago', 'ago', 'RB'), (',', ',', ','), ('I', 'I', 'PRP'), ('met', 'meet', 'VBD'), ('a', 'a', 'DT'), ('women', 'woman', 'NNS'), ('on', 'on', 'IN'), ('the', 'the', 'DT'), ('train', 'train', 'NN'), ('between', 'between', 'IN'), ('the', 'the', 'DT'), ('way', 'way', 'NN'), ('was', 'be', 'VBD'), ('going', 'go', 'VBG'), ('to', 'to', 'TO'), ('school', 'school', 'NN'), (',', ',', ','), ('she', 'she', 'PRP'), ('was', 'be', 'VBD'), ('sitting', 'sit', 'VBG'), ('next', 'next', 'JJ'), ('me', 'me', 'PRP'), ('.', '.', '.'), ('That', 'that', 'DT'), ('day', 'day', 'NN'), ('for', 'for', 'IN'), ('school', 'school', 'NN'), ('opened', 'open', 'VBD'), (';', ';', ':'), ('She', 'She', 'PRP'), ('had', 'have', 'VBD'), ('a', 'a', 'DT'), ('long', 'long', 'JJ'), ('back', 'back', 'RB'), ('hair', 'hair', 'NN'), (',', ',', ','), ('a', 'a', 'DT'), ('tan', 'tan', 'JJ'), ('skin', 'skin', 'NN'), ('and', 'and', 'CC'), ('a', 'a', 'DT'), ('big', 'big', 'JJ'), ('brow', 'brow', 'NN'), ('eyes', 'eye', 'NNS'), ('.', '.', '.'), ('I', 'I', 'PRP'), ('thought', 'think', 'VBD'), (',', ',', ','), ('she', 'she', 'PRP'), ('was', 'be', 'VBD'), ('so', 'so', 'RB'), ('beautiful', 'beautiful', 'JJ'), (',', ',', ','), ('and', 'and', 'CC'), ('one', 'one', 'CD'), ('thing', 'thing', 'NN'), ('as', 'as', 'IN'), ('important', 'important', 'JJ'), ('she', 'she', 'PRP'), ('wear', 'wear', 'JJ'), ('uniform', 'uniform', 'JJ'), ('similar', 'similar', 'JJ'), ('me', 'me', 'PRP'), ('.', '.', '.'), ('When', 'when', 'WRB'), ('she', 'she', 'PRP'), ('took', 'take', 'VBD'), ('off', 'off', 'RP'), ('the', 'the', 'DT'), ('train', 'train', 'NN'), (',', ',', ','), ('she', 'she', 'PRP'), ('said', 'say', 'VBD'), ('good', 'good', 'JJ'), ('bye', 'bye', 'NN'), ('with', 'with', 'IN'), ('me', 'me', 'PRP'), ('.', '.', '.'), ('I', 'I', 'PRP'), ('feel', 'feel', 'VBP'), ('better', 'better', 'RB'), ('for', 'for', 'IN'), ('first', 'first', 'JJ'), ('day', 'day', 'NN'), ('of', 'of', 'IN'), ('school', 'school', 'NN'), ('.', '.', '.'), ('I', 'I', 'PRP'), ('was', 'be', 'VBD'), ('sitting', 'sit', 'VBG'), ('until', 'until', 'IN'), ('the', 'the', 'DT'), ('last', 'last', 'JJ'), ('train', 'train', 'NN'), ('stop', 'stop', 'VBD'), ('it', 'it', 'PRP'), ('was', 'be', 'VBD'), ('near', 'near', 'IN'), ('my', 'my', 'PRP$'), ('school', 'school', 'NN'), ('.', '.', '.'), ('I', 'I', 'PRP'), ('was', 'be', 'VBD'), ('finding', 'find', 'VBG'), ('the', 'the', 'DT'), ('class', 'class', 'NN'), ('when', 'when', 'WRB'), ('I', 'I', 'PRP'), ('met', 'meet', 'VBD'), ('the', 'the', 'DT'), ('women', 'woman', 'NNS'), ('agin', 'agin', 'VBP'), ('in', 'in', 'IN'), ('that', 'that', 'DT'), ('room', 'room', 'NN'), ('.', '.', '.'), ('I', 'I', 'PRP'), ('saw', 'see', 'VBD'), ('the', 'the', 'DT'), ('number', 'number', 'NN'), ('of', 'of', 'IN'), ('the', 'the', 'DT'), ('room', 'room', 'NN'), ('that', 'that', 'WDT'), ('was', 'be', 'VBD'), ('same', 'same', 'JJ'), ('me', 'me', 'PRP'), ('.', '.', '.'), ('While', 'while', 'IN'), ('I', 'I', 'PRP'), ('was', 'be', 'VBD'), ('introducing', 'introduce', 'VBG'), ('my', 'my', 'PRP$'), ('self', 'self', 'NN'), ('to', 'to', 'TO'), ('the', 'the', 'DT'), ('women', 'woman', 'NNS'), (',', ',', ','), (',', ',', ','), ('the', 'the', 'DT'), ('teacher', 'teacher', 'NN'), ('came', 'come', 'VBD'), ('in', 'in', 'IN'), ('.', '.', '.'), ('Since', 'since', 'IN'), ('we', 'we', 'PRP'), ('were', 'be', 'VBD'), ('the', 'the', 'DT'), ('best', 'good', 'JJS'), ('friends', 'friend', 'NNS'), ('until', 'until', 'IN'), ('finished', 'finish', 'VBN'), ('university', 'university', 'NN'), ('.', '.', '.')]"
3,dk5,Turkish,Female,2006_fall,,115,4,w,12,1,63,"In my country we usually don't use tea bags. First we boil the water,then we put some of the hot water at the top.We add the tea at the top. We wait like 20 minutes with low heat for it to be ready.At last, we first poor the water with tea,then we add some pure hot water in it.","['In', 'my', 'country', 'we', 'usually', 'do', ""n't"", 'use', 'tea', 'bags', '.', 'First', 'we', 'boil', 'the', 'water', ',', 'then', 'we', 'put', 'some', 'of', 'the', 'hot', 'water', 'at', 'the', 'top', '.', 'We', 'add', 'the', 'tea', 'at', 'the', 'top', '.', 'We', 'wait', 'like', '20', 'minutes', 'with', 'low', 'heat', 'for', 'it', 'to', 'be', 'ready', '.', 'At', 'last', ',', 'we', 'first', 'poor', 'the', 'water', 'with', 'tea', ',', 'then', 'we', 'add', 'some', 'pure', 'hot', 'water', 'in', 'it', '.']","[('In', 'in', 'IN'), ('my', 'my', 'PRP$'), ('country', 'country', 'NN'), ('we', 'we', 'PRP'), ('usually', 'usually', 'RB'), ('do', 'do', 'VBP'), (""n't"", 'not', 'RB'), ('use', 'use', 'VB'), ('tea', 'tea', 'NN'), ('bags', 'bag', 'NNS'), ('.', '.', '.'), ('First', 'First', 'NNP'), ('we', 'we', 'PRP'), ('boil', 'boil', 'VBP'), ('the', 'the', 'DT'), ('water', 'water', 'NN'), (',', ',', ','), ('then', 'then', 'RB'), ('we', 'we', 'PRP'), ('put', 'put', 'VBD'), ('some', 'some', 'DT'), ('of', 'of', 'IN'), ('the', 'the', 'DT'), ('hot', 'hot', 'JJ'), ('water', 'water', 'NN'), ('at', 'at', 'IN'), ('the', 'the', 'DT'), ('top', 'top', 'JJ'), ('.', '.', '.'), ('We', 'We', 'PRP'), ('add', 'add', 'VBP'), ('the', 'the', 'DT'), ('tea', 'tea', 'NN'), ('at', 'at', 'IN'), ('the', 'the', 'DT'), ('top', 'top', 'JJ'), ('.', '.', '.'), ('We', 'We', 'PRP'), ('wait', 'wait', 'VBP'), ('like', 'like', 'IN'), ('20', '20', 'CD'), ('minutes', 'minute', 'NNS'), ('with', 'with', 'IN'), ('low', 'low', 'JJ'), ('heat', 'heat', 'NN'), ('for', 'for', 'IN'), ('it', 'it', 'PRP'), ('to', 'to', 'TO'), ('be', 'be', 'VB'), ('ready', 'ready', 'JJ'), ('.', '.', '.'), ('At', 'at', 'IN'), ('last', 'last', 'JJ'), (',', ',', ','), ('we', 'we', 'PRP'), ('first', 'first', 'RB'), ('poor', 'poor', 'JJ'), ('the', 'the', 'DT'), ('water', 'water', 'NN'), ('with', 'with', 'IN'), ('tea', 'tea', 'NN'), (',', ',', ','), ('then', 'then', 'RB'), ('we', 'we', 'PRP'), ('add', 'add', 'VBP'), ('some', 'some', 'DT'), ('pure', 'pure', 'JJ'), ('hot', 'hot', 'JJ'), ('water', 'water', 'NN'), ('in', 'in', 'IN'), ('it', 'it', 'PRP'), ('.', '.', '.')]"
4,dk5,Turkish,Female,2006_fall,,115,4,w,13,1,6,I organized the instructions by time.,"['I', 'organized', 'the', 'instructions', 'by', 'time', '.']","[('I', 'I', 'PRP'), ('organized', 'organize', 'VBD'), ('the', 'the', 'DT'), ('instructions', 'instruction', 'NNS'), ('by', 'by', 'IN'), ('time', 'time', 'NN'), ('.', '.', '.')]"
5,ad1,Korean,Female,2006_fall,,115,4,w,12,1,59,"First, prepare a port, loose tea, and cup.
Second, boil water in the port.
Third, put loose tea in the cup.
Fourth, pour water into the cup.
Finally, after waiting for a few minutes, drink the tea. Loose tea won't float on the surface of the tea, so you don't have to pick the loose tea up.","['First', ',', 'prepare', 'a', 'port', ',', 'loose', 'tea', ',', 'and', 'cup', '.', 'Second', ',', 'boil', 'water', 'in', 'the', 'port', '.', 'Third', ',', 'put', 'loose', 'tea', 'in', 'the', 'cup', '.', 'Fourth', ',', 'pour', 'water', 'into', 'the', 'cup', '.', 'Finally', ',', 'after', 'waiting', 'for', 'a', 'few', 'minutes', ',', 'drink', 'the', 'tea', '.', 'Loose', 'tea', 'wo', ""n't"", 'float', 'on', 'the', 'surface', 'of', 'the', 'tea', ',', 'so', 'you', 'do', ""n't"", 'have', 'to', 'pick', 'the', 'loose', 'tea', 'up', '.']","[('First', 'first', 'RB'), (',', ',', ','), ('prepare', 'prepare', 'VB'), ('a', 'a', 'DT'), ('port', 'port', 'NN'), (',', ',', ','), ('loose', 'loose', 'JJ'), ('tea', 'tea', 'NN'), (',', ',', ','), ('and', 'and', 'CC'), ('cup', 'cup', 'NN'), ('.', '.', '.'), ('Second', 'Second', 'NNP'), (',', ',', ','), ('boil', 'boil', 'NN'), ('water', 'water', 'NN'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('port', 'port', 'NN'), ('.', '.', '.'), ('Third', 'Third', 'NNP'), (',', ',', ','), ('put', 'put', 'VBD'), ('loose', 'loose', 'JJ'), ('tea', 'tea', 'NN'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('cup', 'cup', 'NN'), ('.', '.', '.'), ('Fourth', 'Fourth', 'NNP'), (',', ',', ','), ('pour', 'pour', 'JJ'), ('water', 'water', 'NN'), ('into', 'into', 'IN'), ('the', 'the', 'DT'), ('cup', 'cup', 'NN'), ('.', '.', '.'), ('Finally', 'finally', 'RB'), (',', ',', ','), ('after', 'after', 'IN'), ('waiting', 'wait', 'VBG'), ('for', 'for', 'IN'), ('a', 'a', 'DT'), ('few', 'few', 'JJ'), ('minutes', 'minute', 'NNS'), (',', ',', ','), ('drink', 'drink', 'VBP'), ('the', 'the', 'DT'), ('tea', 'tea', 'NN'), ('.', '.', '.'), ('Loose', 'loose', 'JJ'), ('tea', 'tea', 'NN'), ('wo', 'will', 'MD'), (""n't"", 'not', 'RB'), ('float', 'float', 'VB'), ('on', 'on', 'IN'), ('the', 'the', 'DT'), ('surface', 'surface', 'NN'), ('of', 'of', 'IN'), ('the', 'the', 'DT'), ('tea', 'tea', 'NN'), (',', ',', ','), ('so', 'so', 'IN'), ('you', 'you', 'PRP'), ('do', 'do', 'VBP'), (""n't"", 'not', 'RB'), ('have', 'have', 'VB'), ('to', 'to', 'TO'), ('pick', 'pick', 'VB'), ('the', 'the', 'DT'), ('loose', 'loose', 'JJ'), ('tea', 'tea', 'NN'), ('up', 'up', 'RB'), ('.', '.', '.')]"
6,ad1,Korean,Female,2006_fall,,115,4,w,13,1,2,By time,"['By', 'time']","[('By', 'by', 'IN'), ('time', 'time', 'NN')]"
7,eg5,Korean,Female,2006_fall,,115,4,w,12,1,39,"First, prepare your cup, loose tea or bag tea, and a port.
Second, boil water.
Third, put the loose tea or bag tea to your cup.
Fourth, pour the water into the cup.
And you can drink your tea.","['First', ',', 'prepare', 'your', 'cup', ',', 'loose', 'tea', 'or', 'bag', 'tea', ',', 'and', 'a', 'port', '.', 'Second', ',', 'boil', 'water', '.', 'Third', ',', 'put', 'the', 'loose', 'tea', 'or', 'bag', 'tea', 'to', 'your', 'cup', '.', 'Fourth', ',', 'pour', 'the', 'water', 'into', 'the', 'cup', '.', 'And', 'you', 'can', 'drink', 'your', 'tea', '.']","[('First', 'first', 'RB'), (',', ',', ','), ('prepare', 'prepare', 'VB'), ('your', 'your', 'PRP$'), ('cup', 'cup', 'NN'), (',', ',', ','), ('loose', 'loose', 'JJ'), ('tea', 'tea', 'NN'), ('or', 'or', 'CC'), ('bag', 'bag', 'NN'), ('tea', 'tea', 'NN'), (',', ',', ','), ('and', 'and', 'CC'), ('a', 'a', 'DT'), ('port', 'port', 'NN'), ('.', '.', '.'), ('Second', 'Second', 'NNP'), (',', ',', ','), ('boil', 'boil', 'NN'), ('water', 'water', 'NN'), ('.', '.', '.'), ('Third', 'Third', 'NNP'), (',', ',', ','), ('put', 'put', 'VBD'), ('the', 'the', 'DT'), ('loose', 'loose', 'JJ'), ('tea', 'tea', 'NN'), ('or', 'or', 'CC'), ('bag', 'bag', 'NN'), ('tea', 'tea', 'NN'), ('to', 'to', 'TO'), ('your', 'your', 'PRP$'), ('cup', 'cup', 'NN'), ('.', '.', '.'), ('Fourth', 'Fourth', 'NNP'), (',', ',', ','), ('pour', 'pour', 'VBP'), ('the', 'the', 'DT'), ('water', 'water', 'NN'), ('into', 'into', 'IN'), ('the', 'the', 'DT'), ('cup', 'cup', 'NN'), ('.', '.', '.'), ('And', 'and', 'CC'), ('you', 'you', 'PRP'), ('can', 'can', 'MD'), ('drink', 'drink', 'VB'), ('your', 'your', 'PRP$'), ('tea', 'tea', 'NN'), ('.', '.', '.')]"
8,eg5,Korean,Female,2006_fall,,115,4,w,13,1,35,"I organized the instructions by time, beacause to make tea people who want to make tea have to follow the instructions step by step. If they do the instructions randomly, they will not make tea.","['I', 'organized', 'the', 'instructions', 'by', 'time', ',', 'beacause', 'to', 'make', 'tea', 'people', 'who', 'want', 'to', 'make', 'tea', 'have', 'to', 'follow', 'the', 'instructions', 'step', 'by', 'step', '.', 'If', 'they', 'do', 'the', 'instructions', 'randomly', ',', 'they', 'will', 'not', 'make', 'tea', '.']","[('I', 'I', 'PRP'), ('organized', 'organize', 'VBD'), ('the', 'the', 'DT'), ('instructions', 'instruction', 'NNS'), ('by', 'by', 'IN'), ('time', 'time', 'NN'), (',', ',', ','), ('beacause', 'beacause', 'NN'), ('to', 'to', 'TO'), ('make', 'make', 'VB'), ('tea', 'tea', 'JJ'), ('people', 'people', 'NNS'), ('who', 'who', 'WP'), ('want', 'want', 'VBP'), ('to', 'to', 'TO'), ('make', 'make', 'VB'), ('tea', 'tea', 'NN'), ('have', 'have', 'VBP'), ('to', 'to', 'TO'), ('follow', 'follow', 'VB'), ('the', 'the', 'DT'), ('instructions', 'instruction', 'NNS'), ('step', 'step', 'NN'), ('by', 'by', 'IN'), ('step', 'step', 'NN'), ('.', '.', '.'), ('If', 'if', 'IN'), ('they', 'they', 'PRP'), ('do', 'do', 'VBP'), ('the', 'the', 'DT'), ('instructions', 'instruction', 'NNS'), ('randomly', 'randomly', 'RB'), (',', ',', ','), ('they', 'they', 'PRP'), ('will', 'will', 'MD'), ('not', 'not', 'RB'), ('make', 'make', 'VB'), ('tea', 'tea', 'NN'), ('.', '.', '.')]"
9,ad1,Korean,Female,2006_fall,,115,4,w,12,2,59,"First, prepare a port, loose tea, and cup.
Second, boil water in the port, and put loose tea in the cup.
Third, pour water into the cup.
Fourth, after waiting for a few minutes, drink the tea. Loose tea won't float on the surface of the tea, so you don't have to pick the loose tea up.","['First', ',', 'prepare', 'a', 'port', ',', 'loose', 'tea', ',', 'and', 'cup', '.', 'Second', ',', 'boil', 'water', 'in', 'the', 'port', ',', 'and', 'put', 'loose', 'tea', 'in', 'the', 'cup', '.', 'Third', ',', 'pour', 'water', 'into', 'the', 'cup', '.', 'Fourth', ',', 'after', 'waiting', 'for', 'a', 'few', 'minutes', ',', 'drink', 'the', 'tea', '.', 'Loose', 'tea', 'wo', ""n't"", 'float', 'on', 'the', 'surface', 'of', 'the', 'tea', ',', 'so', 'you', 'do', ""n't"", 'have', 'to', 'pick', 'the', 'loose', 'tea', 'up', '.']","[('First', 'first', 'RB'), (',', ',', ','), ('prepare', 'prepare', 'VB'), ('a', 'a', 'DT'), ('port', 'port', 'NN'), (',', ',', ','), ('loose', 'loose', 'JJ'), ('tea', 'tea', 'NN'), (',', ',', ','), ('and', 'and', 'CC'), ('cup', 'cup', 'NN'), ('.', '.', '.'), ('Second', 'Second', 'NNP'), (',', ',', ','), ('boil', 'boil', 'NN'), ('water', 'water', 'NN'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('port', 'port', 'NN'), (',', ',', ','), ('and', 'and', 'CC'), ('put', 'put', 'VBD'), ('loose', 'loose', 'JJ'), ('tea', 'tea', 'NN'), ('in', 'in', 'IN'), ('the', 'the', 'DT'), ('cup', 'cup', 'NN'), ('.', '.', '.'), ('Third', 'Third', 'NNP'), (',', ',', ','), ('pour', 'pour', 'JJ'), ('water', 'water', 'NN'), ('into', 'into', 'IN'), ('the', 'the', 'DT'), ('cup', 'cup', 'NN'), ('.', '.', '.'), ('Fourth', 'Fourth', 'NNP'), (',', ',', ','), ('after', 'after', 'IN'), ('waiting', 'wait', 'VBG'), ('for', 'for', 'IN'), ('a', 'a', 'DT'), ('few', 'few', 'JJ'), ('minutes', 'minute', 'NNS'), (',', ',', ','), ('drink', 'drink', 'VBP'), ('the', 'the', 'DT'), ('tea', 'tea', 'NN'), ('.', '.', '.'), ('Loose', 'loose', 'JJ'), ('tea', 'tea', 'NN'), ('wo', 'will', 'MD'), (""n't"", 'not', 'RB'), ('float', 'float', 'VB'), ('on', 'on', 'IN'), ('the', 'the', 'DT'), ('surface', 'surface', 'NN'), ('of', 'of', 'IN'), ('the', 'the', 'DT'), ('tea', 'tea', 'NN'), (',', ',', ','), ('so', 'so', 'IN'), ('you', 'you', 'PRP'), ('do', 'do', 'VBP'), (""n't"", 'not', 'RB'), ('have', 'have', 'VB'), ('to', 'to', 'TO'), ('pick', 'pick', 'VB'), ('the', 'the', 'DT'), ('loose', 'loose', 'JJ'), ('tea', 'tea', 'NN'), ('up', 'up', 'RB'), ('.', '.', '.')]"
10,ad1,Korean,Female,2006_fall,,115,4,w,13,2,2,By time,"['By', 'time']","[('By', 'by', 'IN'), ('time', 'time', 'NN')]"
